Temps(ms),Voie3,Voie4
Taken from test0011
252540.0,14.0,13
252550.0,12.0,13
252560.0,11.0,13
252570.0,12.0,12
252580.0,13.0,12
252590.0,13.0,13
252600.0,11.0,13
252610.0,10.0,13
252620.0,12.0,12
252630.0,11.0,13
252640.0,10.0,13
252650.0,12.0,13
252660.0,12.0,12
252670.0,11.0,13
252680.0,11.0,12
252690.0,12.0,12
252700.0,11.0,13
252710.0,12.0,12
252720.0,11.0,12
252730.0,10.0,13
252740.0,9.0,13
252750.0,11.0,13
252760.0,12.0,13
252770.0,11.0,13
252780.0,11.0,13
252790.0,12.0,13
252800.0,12.0,13
252810.0,11.0,13
252820.0,12.0,13
